business_name,address,phone,region,district,town,open_date,status
쑤에스테틱,"서울특별시 마포구 신촌로 140, 신촌예스빌딩 202호 (노고산동)",,서울특별시,마포구,신촌로,,active
해심,"부산광역시 기장군 기장읍 대청로35번길 52, 101호",,부산광역시,기장군,기장읍,,active
리본테라피,"경기도 하남시 미사강변중앙로 165, 강변 신성프라자 3층 304호 (망월동)",,경기도,하남시,미사강변중앙로,,active
OiC,"충청북도 청주시 청원구 오창읍 오창대로 315, 1층 131호",,충청북도,청주시,청원구,,active
톡톡라인스킨케어,"인천광역시 남동구 만수서로105번길 33, 2층 일부호 (만수동)",,인천광역시,남동구,만수서로105번길,,active
뷰티잇찌,"경상북도 포항시 남구 대이로15번길 8-1, 2층 (대잠동)",,경상북도,포항시,남구,,active
다올뷰티(DAOLBEAUTY),"대구광역시 남구 현충로46길 16, 대덕시장 다동 1층 12호 (대명동)",,대구광역시,남구,현충로46길,,active
오늘도 예쁘다,"경상남도 양산시 대운7길 16, 1층 (삼호동)",,경상남도,양산시,대운7길,,active
美+미플러스,"부산광역시 부산진구 동천로 70, 1층 115-1호 (전포동, 서면쌍용플래티넘)",,부산광역시,부산진구,동천로,,active
스킨모아,경상북도 경산시 경안로41길 12 (중방동),,경상북도,경산시,경안로41길,,active
유기농스킨케어,"서울특별시 강북구 삼각산로22길 10, 101호 (수유동, 삼일맨션)",,서울특별시,강북구,삼각산로22길,,active
망고왁싱,"경기도 군포시 산본로323번길 7, 금성프라자빌딩 502(가칭 507호)호 (산본동)",,경기도,군포시,산본로323번길,,active
올가드림뷰티오세현,"경기도 성남시 분당구 장미로 55, 196동 102호 (야탑동, 장미마을)",,경기도,성남시,분당구,,active
